Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
A7,A7,,5,11,16,5,11,16,4,0.402878,0.502976,1266.388889,0.058801,0.110569,3,0.013637,0,44,0.045455,0.987824
A10,A10,,5,11,16,5,11,16,4,0.405797,0.505952,1275.388889,0.058735,0.107561,5,0.013637,0,44,0.037879,0.987824
A1,A1,,6,10,16,6,10,16,5,0.290698,0.390667,630.833333,0.329948,0.31209,0,0.016068,0,54,0.07619,0.177395
A2,A2,,7,9,16,7,9,16,5,0.273859,0.368182,722.833333,0.377789,0.290871,1,0.027911,0,60,0.085714,0.375043
A5,A5,,9,6,15,9,6,15,4,0.321839,0.386905,1509.255556,0.507638,0.065784,1,0.023749,0,44,0.061905,0.907907
A14,A14,,1,12,13,1,12,13,4,0.366795,0.442982,10.333333,0.069064,0.533254,0,0.003067,0,71,0.096154,0.003669
A6,A6,,3,10,13,3,10,13,5,0.335329,0.453571,1030.788889,0.069796,0.183053,3,0.024349,0,44,0.05303,0.605437
A9,A9,,3,10,13,3,10,13,5,0.337349,0.45506,1030.788889,0.069145,0.183031,4,0.024349,0,44,0.05303,0.605437
A15,A15,,0,12,12,0,12,12,4,0.400709,0.45944,0,0,0.333571,1,0.002865,0,89,0.045455,0
A12,A12,,5,7,12,5,7,12,4,0.405797,0.470238,1523.755556,0.238252,0.038461,5,0.008757,0,44,0.1,1
A19,A19,,2,9,11,2,9,11,5,0.288973,0.365789,170.922222,0.00677,0.172034,9,0.005143,0,98,0.063636,0.058114
A18,A18,,3,8,11,3,8,11,6,0.242812,0.312719,48,0.098328,0,8,0.003948,0,88,0.063636,0.028398
A16,A16,,0,9,9,0,9,9,6,0.264045,0.339716,0,0,0.08242,6,0.002865,0,103,0.25,0
A3,A3,,1,8,9,1,8,9,1,1,1,136,0.064616,0,2,0.004231,0,53,0.097222,0.096819
I47,I47,,2,7,9,2,7,9,6,0.255495,0.312903,41,0.018141,0.058306,6,0.003725,0,102,0.236111,0.012212
I48,I48,,2,7,9,2,7,9,8,0.175238,0.244281,52,0.001403,0.001287,7,0.003759,0,111,0.166667,0.012212
I132,I132,,5,4,9,5,4,9,4,0.39645,0.442786,1680.077778,0.083357,0.212089,1,0.049436,0,62,0.055556,0.32203
A17,A17,,0,8,8,0,8,8,8,0.176806,0.252407,0,0,0.001578,7,0.002865,0,112,0.214286,0
I17,I17,,1,7,8,1,7,8,7,0.191327,0.266159,15,0.064616,0.123361,0,0.004231,0,54,0.160714,0.096819
I18,I18,,1,7,8,1,7,8,7,0.184874,0.2671,41,0.060223,0.116119,1,0.005502,0,60,0.160714,0.171027
I80,I80,,4,4,8,4,4,8,6,0.254777,0.307917,133.5,0.043188,0.030143,6,0.007246,0,99,0.25,0.062364
I61,I61,,2,5,7,2,5,7,6,0.257062,0.312454,27,0.029136,0.058924,6,0.003587,0,100,0.333333,0.020243
I134,I134,,5,2,7,5,2,7,7,0.196305,0.234846,548,0.0008,0.048651,7,0.012639,0,104,0.166667,0.097679
I133,I133,,6,1,7,6,1,7,5,0.28692,0.309069,478.166667,0.052039,0.017258,6,0.016399,0,75,0.309524,0.197255
I44,I44,,1,5,6,1,5,6,6,0.244533,0.292683,56.894444,0.000175,0.0052,11,0.003473,0,119,0.166667,0.003669
I9,I9,,3,3,6,3,3,6,5,0.291667,0.33125,110,0.009882,0.009267,5,0.009181,0,44,0.133333,0.473283
I115,I115,,5,1,6,5,1,6,6,0.22549,0.242995,70,0.049708,0.010774,6,0.008344,0,76,0.333333,0.099418
I90,I90,,6,0,6,6,0,6,0,0,0,0,0.032045,0,3,0.013533,0,18,0.033333,0.617593
A8,A8,,1,4,5,1,4,5,3,0.636364,0.761905,234.5,0.022892,0.000827,3,0.003918,0,36,0.05,0.314085
A11,A11,,1,4,5,1,4,5,3,0.615385,0.729167,234.5,0.02227,0.000827,5,0.003918,0,40,0.05,0.314085
I113,I113,,1,4,5,1,4,5,5,0.289116,0.348627,0,0.110407,0.313793,0,0.003082,0,61,0.4,0.008543
I83,I83,,1,4,5,1,4,5,6,0.23301,0.274537,0,0.035618,0.037102,9,0.00335,0,94,0.3,0.039419
I77,I77,,1,4,5,1,4,5,6,0.254777,0.307917,38.316667,0.000175,0.002555,11,0.003473,0,120,0.25,0.003669
I111,I111,,2,3,5,2,3,5,4,0.386207,0.425595,158,0.009882,0.027147,5,0.006527,0,44,0.3,0.493599
I36,I36,,3,2,5,3,2,5,1,1,1,2,0,0,2,0.005661,0,50,0.3,0.098779
I81,I81,,3,2,5,3,2,5,8,0.167308,0.200848,87,0.00062,0.000668,7,0.006707,0,108,0.35,0.041304
I96,I96,,3,2,5,3,2,5,6,0.228013,0.25381,12.894444,0.00178,0.000785,11,0.004802,0,118,0.4,0.020755
I123,I123,,4,1,5,4,1,5,6,0.225904,0.266667,390,0.119496,0.068314,0,0.011553,0,54,0.25,0.240965
I124,I124,,4,1,5,4,1,5,6,0.215686,0.255051,288.5,0.115482,0.078219,1,0.013043,0,60,0.25,0.345004
I117,I117,,4,1,5,4,1,5,6,0.22549,0.242995,138,0,0,8,0.010262,0,81,0.25,0.092439
I118,I118,,4,1,5,4,1,5,6,0.22549,0.242995,141,0.047361,0.009367,9,0.010134,0,64,0.25,0.113527
I112,I112,,4,1,5,4,1,5,6,0.22549,0.242995,12.894444,0.001943,0.000382,11,0.006842,0,117,0.4,0.045361
I130,I130,,4,1,5,4,1,5,5,0.28692,0.309069,296.911111,0.001847,0.017258,11,0.01205,0,116,0.25,0.083301
I58,I58,,0,4,4,0,4,4,7,0.20938,0.250895,0,0,0.000843,11,0.002865,0,121,0.416667,0
I19,I19,,1,3,4,1,3,4,2,0.8,0.875,0,0,0,2,0.003314,0,51,0.333333,0.048396
I28,I28,,1,3,4,1,3,4,1,1,1,0,0.110407,0.078697,0,0.003082,0,70,0.25,0.008543
I79,I79,,1,3,4,1,3,4,5,0.288136,0.342745,1,0.069064,0.251635,1,0.003067,0,73,0.333333,0.003669
I108,I108,,2,2,4,2,2,4,5,0.290155,0.334524,0,0.026551,0.017672,3,0.006814,0,44,1,0.458028
I120,I120,,2,2,4,2,2,4,5,0.290155,0.334524,0,0.026551,0.017672,3,0.006814,0,44,1,0.458028
